Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2002-2003,15,Auxerre,Nice,Domicile,0,2,-1,4,1,1.2857142857142858,1.3571428571428572,1.6666666666666667,1.0,1.0,0.5,0.5,0.6666666666666666,-2.0,2.0,0
2002-2003,16,Auxerre,Le Havre,Extérieur,1,0,1,7,18,1.2,0.7333333333333333,1.0,0.7142857142857143,1.0666666666666667,1.3333333333333333,1.375,1.2857142857142858,-3.0,-2.0,0
2002-2003,17,Auxerre,Bordeaux,Domicile,1,0,1,4,11,1.1875,1.125,1.4285714285714286,1.0,1.0,1.0,0.7142857142857143,1.25,-1.0,1.0,0
2002-2003,18,Auxerre,Lille,Extérieur,2,2,0,3,13,1.1764705882352942,0.8823529411764706,1.0,1.1111111111111112,0.9411764705882353,1.1764705882352942,1.2222222222222223,1.1111111111111112,-1.0,-1.0,0
2002-2003,19,Auxerre,Strasbourg,Domicile,0,0,0,4,11,1.2222222222222223,1.2777777777777777,1.375,0.875,1.0,1.6666666666666667,0.625,2.375,0.0,-1.0,0
2002-2003,20,Auxerre,Montpellier,Extérieur,0,0,0,5,20,1.1578947368421053,0.8421052631578947,1.1,1.0,0.9473684210526315,1.368421052631579,1.3,1.0,1.0,-2.0,1
2002-2003,21,Auxerre,Troyes,Domicile,1,0,1,7,20,1.1,0.7,1.2222222222222223,0.4444444444444444,0.9,1.1,0.5555555555555556,1.0,2.0,-2.0,1
2002-2003,22,Auxerre,Guingamp,Extérieur,2,0,1,4,7,1.0952380952380953,1.5238095238095237,1.0,1.6363636363636365,0.8571428571428571,1.2380952380952381,1.1818181818181819,0.8181818181818182,2.0,1.0,1
2002-2003,23,Auxerre,Marseille,Domicile,0,0,0,1,3,1.1363636363636365,1.0454545454545454,1.2,0.9,0.8181818181818182,0.9090909090909091,0.5,1.4,2.0,2.0,0
2002-2003,24,Auxerre,Bastia,Extérieur,0,2,-1,1,13,1.0869565217391304,1.0434782608695652,1.0833333333333333,1.5833333333333333,0.782608695652174,1.2173913043478262,1.0833333333333333,0.8333333333333334,2.0,2.0,1
2002-2003,25,Auxerre,Sochaux,Domicile,2,0,1,4,3,1.0416666666666667,1.0833333333333333,1.0909090909090908,0.5833333333333334,0.8333333333333334,0.75,0.45454545454545453,1.1666666666666667,1.0,2.0,0
2002-2003,26,Auxerre,Sedan Ardennes,Extérieur,2,1,1,1,18,1.08,1.08,1.0,1.4615384615384615,0.8,1.64,1.1538461538461537,1.0,2.0,-2.0,1
2002-2003,27,Auxerre,Nantes,Domicile,0,1,-1,1,9,1.1153846153846154,1.1153846153846154,1.1666666666666667,0.7692307692307693,0.8076923076923077,1.0769230769230769,0.4166666666666667,1.1538461538461537,2.0,2.0,1
2002-2003,28,Auxerre,Monaco,Extérieur,1,3,-1,3,2,1.0740740740740742,1.4814814814814814,1.0714285714285714,1.7692307692307692,0.8148148148148148,0.7777777777777778,1.1428571428571428,0.6923076923076923,0.0,3.0,0
2002-2003,29,Auxerre,Lyon,Domicile,1,2,-1,3,4,1.0714285714285714,1.6785714285714286,1.0769230769230769,1.0,0.8928571428571429,1.1785714285714286,0.46153846153846156,1.4285714285714286,-1.0,0.0,-1
