Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2010-2011,7,Lyon,Saint-Étienne,Domicile,0,1,-1,17,1,0.6666666666666666,1.8333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.0,-2.0,4.0,8
2010-2011,8,Lyon,Nancy,Extérieur,3,2,1,18,15,0.5714285714285714,1.0,0.6666666666666666,0.0,1.2857142857142858,1.7142857142857142,2.3333333333333335,2.3333333333333335,-2.0,-1.0,9
2010-2011,9,Lyon,Lille,Domicile,3,1,1,17,3,0.875,1.375,0.5,1.5,1.375,0.625,0.5,0.75,-2.0,3.0,-2
2010-2011,10,Lyon,Arles-Avignon,Extérieur,1,1,0,14,20,1.1111111111111112,0.3333333333333333,1.25,0.0,1.3333333333333333,2.2222222222222223,2.25,2.25,0.0,-4.0,0
2010-2011,11,Lyon,Sochaux,Domicile,2,1,1,14,11,1.1,1.7,1.0,1.0,1.3,1.4,0.6,2.25,0.0,-1.0,9
2010-2011,12,Lyon,Rennais,Extérieur,1,1,0,10,2,1.1818181818181819,1.0909090909090908,1.2,1.2,1.2727272727272727,0.45454545454545453,2.0,0.8,2.0,1.0,4
2010-2011,13,Lyon,Nice,Domicile,1,0,1,11,12,1.1666666666666667,0.9166666666666666,1.1666666666666667,0.5,1.25,1.1666666666666667,0.6666666666666666,1.5,3.0,0.0,8
2010-2011,14,Lyon,Lens,Extérieur,3,1,1,9,18,1.1538461538461537,0.9230769230769231,1.1666666666666667,1.0,1.1538461538461537,1.4615384615384615,1.8333333333333333,1.4285714285714286,3.0,2.0,8
2010-2011,15,Lyon,PSG,Domicile,2,2,0,8,4,1.2857142857142858,1.5,1.1428571428571428,1.1666666666666667,1.1428571428571428,0.9285714285714286,0.5714285714285714,0.8333333333333334,3.0,1.0,3
2010-2011,16,Lyon,Montpellier,Extérieur,2,1,1,8,6,1.3333333333333333,0.8666666666666667,1.4285714285714286,1.2857142857142858,1.2,1.0666666666666667,1.7142857142857142,0.5714285714285714,3.0,0.0,2
2010-2011,17,Lyon,Toulouse,Domicile,2,0,1,5,9,1.375,1.0625,1.25,1.25,1.1875,1.0,0.75,1.125,3.0,-1.0,5
2010-2011,18,Lyon,Marseille,Extérieur,1,1,0,3,5,1.411764705882353,1.5294117647058822,1.5,1.625,1.1176470588235294,0.9411764705882353,1.625,0.75,4.0,1.0,2
2010-2011,19,Lyon,Auxerre,Domicile,1,1,0,4,13,1.3888888888888888,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.1111111111111112,1.1666666666666667,0.6666666666666666,1.1111111111111112,3.0,-1.0,10
2010-2011,20,Lyon,Lorient,Domicile,3,0,1,4,12,1.368421052631579,1.1578947368421053,1.3,0.7777777777777778,1.105263157894737,1.263157894736842,0.7,2.0,2.0,0.0,3
2010-2011,21,Lyon,Valenciennes,Extérieur,1,2,-1,4,16,1.45,1.1,1.4444444444444444,1.5555555555555556,1.05,1.15,1.5555555555555556,1.1111111111111112,3.0,-3.0,3
2010-2011,22,Lyon,Bordeaux,Domicile,0,0,0,3,8,1.4285714285714286,1.2857142857142858,1.4545454545454546,1.4,1.0952380952380953,1.0952380952380953,0.6363636363636364,1.3,1.0,0.0,4
2010-2011,23,Lyon,Saint-Étienne,Extérieur,4,1,1,6,5,1.3636363636363635,1.4090909090909092,1.4,1.9,1.0454545454545454,1.0909090909090908,1.6,1.1,0.0,2.0,7
2010-2011,24,Lyon,Nancy,Domicile,4,0,1,5,14,1.4782608695652173,1.1304347826086956,1.3333333333333333,1.1818181818181819,1.0434782608695652,1.5217391304347827,0.5833333333333334,1.5454545454545454,1.0,-1.0,10
2010-2011,25,Lyon,Lille,Extérieur,1,1,0,4,1,1.5833333333333333,1.75,1.6363636363636365,2.0,1.0,0.9583333333333334,1.5454545454545454,0.9166666666666666,2.0,2.0,-1
2010-2011,26,Lyon,Arles-Avignon,Domicile,5,0,1,5,20,1.56,0.52,1.5384615384615385,0.3333333333333333,1.0,1.8,0.5384615384615384,2.0,1.0,-2.0,0
2010-2011,27,Lyon,Sochaux,Extérieur,2,0,1,3,9,1.6923076923076923,1.5384615384615385,1.5833333333333333,1.9230769230769231,0.9615384615384616,1.1923076923076923,1.5,0.8461538461538461,3.0,0.0,10
2010-2011,28,Lyon,Rennais,Domicile,1,1,0,3,2,1.7037037037037037,1.1481481481481481,1.7857142857142858,0.8461538461538461,0.9259259259259259,0.7407407407407407,0.5,0.9230769230769231,4.0,3.0,4
2010-2011,29,Lyon,Nice,Extérieur,2,2,0,4,15,1.6785714285714286,0.6785714285714286,1.6153846153846154,0.8571428571428571,0.9285714285714286,1.0,1.3846153846153846,0.8571428571428571,3.0,1.0,9
2010-2011,30,Lyon,Lens,Domicile,3,0,1,4,19,1.6896551724137931,0.9655172413793104,1.7333333333333334,0.8571428571428571,0.9655172413793104,1.4827586206896552,0.5333333333333333,1.5714285714285714,2.0,-2.0,9
2010-2011,31,Lyon,PSG,Extérieur,0,1,-1,3,5,1.7333333333333334,1.4666666666666666,1.6428571428571428,1.6666666666666667,0.9333333333333333,1.0333333333333334,1.4285714285714286,1.0,3.0,-1.0,3
2010-2011,32,Lyon,Montpellier,Domicile,3,2,1,3,8,1.6774193548387097,0.8709677419354839,1.8125,0.6,0.9354838709677419,1.064516129032258,0.5,1.0,1.0,-1.0,3
2010-2011,33,Lyon,Toulouse,Extérieur,0,2,-1,3,13,1.71875,1.0,1.5333333333333334,0.9375,0.96875,1.09375,1.4,0.8125,1.0,-2.0,6
2010-2011,34,Lyon,Marseille,Domicile,3,2,1,3,2,1.6666666666666667,1.5454545454545454,1.8823529411764706,1.375,1.0,0.9090909090909091,0.5882352941176471,0.8125,0.0,3.0,2
2010-2011,35,Lyon,Auxerre,Extérieur,0,4,-1,3,13,1.7058823529411764,1.1176470588235294,1.4375,1.2941176470588236,1.0294117647058822,1.1176470588235294,1.4375,1.0,1.0,2.0,10
2010-2011,36,Lyon,Brest,Extérieur,1,1,0,3,15,1.6571428571428573,0.9714285714285714,1.3529411764705883,1.1764705882352942,1.1142857142857143,1.1428571428571428,1.588235294117647,0.8235294117647058,-1.0,-1.0,1
2010-2011,37,Lyon,Caen,Domicile,0,0,0,3,14,1.6388888888888888,1.2222222222222223,1.9444444444444444,1.3333333333333333,1.1111111111111112,1.3611111111111112,0.6666666666666666,1.4444444444444444,0.0,2.0,0
2010-2011,38,Lyon,Monaco,Extérieur,2,0,1,3,18,1.5945945945945945,0.972972972972973,1.3333333333333333,0.8888888888888888,1.0810810810810811,1.027027027027027,1.5555555555555556,0.8333333333333334,-1.0,0.0,1
2010-2011,1,Marseille,Caen,Domicile,1,2,-1,,,,,,,,,,,,,4
2010-2011,2,Marseille,Valenciennes,Extérieur,2,3,-1,15,14,1.0,0.0,,,2.0,0.0,,,-1.0,0.0,2
2010-2011,3,Marseille,Lorient,Domicile,2,0,1,18,15,1.5,1.5,1.0,2.0,2.5,2.0,2.0,2.0,-2.0,-1.0,0
2010-2011,4,Marseille,Bordeaux,Extérieur,1,1,0,13,17,1.6666666666666667,1.0,2.0,1.0,1.6666666666666667,1.3333333333333333,3.0,2.0,-1.0,-1.0,-1
2010-2011,5,Marseille,Monaco,Domicile,2,2,0,10,7,1.5,1.0,1.5,1.0,1.5,0.5,1.0,1.0,-1.0,1.0,3
2010-2011,6,Marseille,Arles-Avignon,Extérieur,3,0,1,13,20,1.6,0.4,1.5,0.0,1.6,2.0,2.0,1.0,-1.0,-5.0,0
2010-2011,7,Marseille,Sochaux,Domicile,2,1,1,8,5,1.8333333333333333,2.0,1.6666666666666667,1.5,1.3333333333333333,1.1666666666666667,1.3333333333333333,2.5,1.0,0.0,-1
2010-2011,8,Marseille,Saint-Étienne,Extérieur,1,1,0,6,1,1.8571428571428572,1.7142857142857142,2.0,3.0,1.2857142857142858,0.8571428571428571,1.3333333333333333,1.0,3.0,4.0,4
2010-2011,9,Marseille,Nancy,Domicile,1,0,1,8,18,1.75,1.125,1.75,1.75,1.25,1.875,1.25,1.25,2.0,-2.0,3
2010-2011,10,Marseille,Lille,Extérieur,3,1,1,4,6,1.6666666666666667,1.3333333333333333,1.75,1.25,1.1111111111111112,0.8888888888888888,1.25,0.5,3.0,2.0,4
2010-2011,11,Marseille,Rennais,Domicile,0,0,0,2,1,1.8,1.2,1.6,1.2,1.1,0.5,1.0,0.2,4.0,1.0,5
2010-2011,12,Marseille,PSG,Extérieur,1,2,-1,3,7,1.6363636363636365,1.4545454545454546,2.0,1.6666666666666667,1.0,0.9090909090909091,1.2,1.0,3.0,1.0,0
2010-2011,13,Marseille,Lens,Domicile,1,1,0,4,19,1.5833333333333333,0.9166666666666666,1.3333333333333333,0.8,1.0833333333333333,1.5,0.8333333333333334,1.6,1.0,1.0,2
2010-2011,14,Marseille,Toulouse,Extérieur,1,0,1,6,12,1.5384615384615385,1.0769230769230769,1.8333333333333333,1.0,1.0769230769230769,1.0769230769230769,1.3333333333333333,1.0,1.0,-2.0,0
2010-2011,15,Marseille,Montpellier,Domicile,4,0,1,5,3,1.5,0.9285714285714286,1.2857142857142858,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,1.0,2.0,3
2010-2011,16,Marseille,Nice,Extérieur,0,1,-1,1,16,1.6666666666666667,0.8,1.7142857142857142,1.1428571428571428,0.9333333333333333,1.1333333333333333,1.1428571428571428,0.8571428571428571,1.0,-2.0,8
2010-2011,17,Marseille,Auxerre,Extérieur,1,1,0,4,13,1.5625,1.375,1.5,1.375,0.9375,1.1875,1.125,1.25,0.0,0.0,4
2010-2011,18,Marseille,Lyon,Domicile,1,1,0,5,3,1.5294117647058822,1.411764705882353,1.625,1.5,0.9411764705882353,1.1176470588235294,0.75,1.625,1.0,4.0,-2
2010-2011,19,Marseille,Brest,Extérieur,0,0,0,5,7,1.5,1.1111111111111112,1.4444444444444444,1.125,0.9444444444444444,0.8333333333333334,1.1111111111111112,0.375,1.0,-1.0,0
2010-2011,20,Marseille,Bordeaux,Domicile,2,1,1,5,8,1.4210526315789473,1.263157894736842,1.5555555555555556,1.4444444444444444,0.8947368421052632,1.105263157894737,0.7777777777777778,1.2222222222222223,0.0,0.0,-1
2010-2011,21,Marseille,Monaco,Extérieur,0,0,0,5,19,1.45,1.0,1.3,0.7,0.9,1.05,1.0,0.9,0.0,-1.0,3
2010-2011,22,Marseille,Arles-Avignon,Domicile,1,0,1,5,20,1.380952380952381,0.5238095238095238,1.6,0.3,0.8571428571428571,2.0,0.8,2.2,1.0,-4.0,1
2010-2011,23,Marseille,Sochaux,Extérieur,2,1,1,4,12,1.3636363636363635,1.5909090909090908,1.1818181818181819,2.1818181818181817,0.8181818181818182,1.2272727272727273,0.9090909090909091,0.8181818181818182,2.0,-2.0,0
2010-2011,24,Marseille,Saint-Étienne,Domicile,2,1,1,3,6,1.391304347826087,1.391304347826087,1.5454545454545454,1.0,0.8260869565217391,1.2173913043478262,0.7272727272727273,1.0833333333333333,3.0,0.0,4
2010-2011,25,Marseille,Nancy,Extérieur,2,1,1,3,15,1.4166666666666667,1.0833333333333333,1.25,1.0833333333333333,0.8333333333333334,1.625,0.9166666666666666,1.5,4.0,-3.0,4
2010-2011,26,Marseille,Lille,Domicile,1,2,-1,3,1,1.44,1.72,1.5833333333333333,1.5,0.84,0.96,0.75,1.0,4.0,1.0,5
2010-2011,27,Marseille,Rennais,Extérieur,2,0,1,4,2,1.4230769230769231,1.1923076923076923,1.3076923076923077,1.5384615384615385,0.8846153846153846,0.6923076923076923,0.9230769230769231,0.46153846153846156,3.0,5.0,5
2010-2011,28,Marseille,PSG,Domicile,2,1,1,4,5,1.4444444444444444,1.5185185185185186,1.5384615384615385,1.2307692307692308,0.8518518518518519,1.037037037037037,0.8461538461538461,1.0,3.0,1.0,-1
2010-2011,29,Marseille,Lens,Extérieur,1,0,1,2,19,1.4642857142857142,1.0,1.3571428571428572,1.1428571428571428,0.8571428571428571,1.5,0.8571428571428571,1.4285714285714286,3.0,-2.0,2
2010-2011,30,Marseille,Toulouse,Domicile,2,2,0,2,11,1.4482758620689655,1.0,1.5714285714285714,1.0,0.8275862068965517,1.0689655172413792,0.8571428571428571,1.3571428571428572,3.0,-2.0,1
2010-2011,31,Marseille,Montpellier,Extérieur,2,1,1,2,6,1.4666666666666666,0.8666666666666667,1.3333333333333333,1.1333333333333333,0.8666666666666667,1.0333333333333334,0.8,1.0666666666666667,2.0,-1.0,4
2010-2011,32,Marseille,Nice,Domicile,4,2,1,2,12,1.4838709677419355,0.8064516129032258,1.6,0.5333333333333333,0.8709677419354839,1.064516129032258,0.9333333333333333,1.1333333333333333,4.0,2.0,7
2010-2011,33,Marseille,Auxerre,Domicile,1,1,0,1,16,1.5625,1.125,1.75,0.9375,0.90625,1.15625,1.0,1.25,4.0,2.0,4
2010-2011,34,Marseille,Lyon,Extérieur,2,3,-1,2,3,1.5454545454545454,1.6666666666666667,1.375,1.8823529411764706,0.9090909090909091,1.0,0.8125,0.5882352941176471,3.0,0.0,-2
2010-2011,35,Marseille,Brest,Domicile,3,0,1,2,14,1.5588235294117647,1.0,1.7058823529411764,0.8235294117647058,0.9705882352941176,1.088235294117647,1.0,1.3529411764705883,1.0,1.0,0
2010-2011,36,Marseille,Lorient,Extérieur,2,2,0,2,7,1.6,1.2285714285714286,1.411764705882353,1.411764705882353,0.9428571428571428,1.2,0.9411764705882353,0.5294117647058824,2.0,1.0,1
2010-2011,37,Marseille,Valenciennes,Domicile,2,2,0,2,12,1.6111111111111112,1.1388888888888888,1.7777777777777777,0.8333333333333334,0.9722222222222222,1.0555555555555556,0.9444444444444444,1.2222222222222223,1.0,0.0,1
2010-2011,38,Marseille,Caen,Extérieur,2,2,0,2,16,1.6216216216216217,1.1891891891891893,1.4444444444444444,1.1111111111111112,1.0,1.3243243243243243,1.0,1.2777777777777777,0.0,2.0,3
2010-2011,1,Monaco,Lyon,Extérieur,0,0,0,,,,,,,,,,,,,-1
2010-2011,2,Monaco,Montpellier,Domicile,0,0,0,13,6,0.0,1.0,,,0.0,0.0,,,0.0,1.0,5
2010-2011,3,Monaco,Lens,Extérieur,2,2,0,14,9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1
2010-2011,4,Monaco,Auxerre,Domicile,2,0,1,15,14,0.6666666666666666,1.3333333333333333,0.0,1.0,0.6666666666666666,1.3333333333333333,0.0,1.0,0.0,0.0,-2
2010-2011,5,Monaco,Marseille,Extérieur,2,2,0,7,10,1.0,1.5,1.0,1.5,0.5,1.5,1.0,1.0,1.0,-1.0,-3
2010-2011,6,Monaco,Toulouse,Domicile,0,0,0,9,1,1.2,1.6,1.0,2.0,0.8,0.6,0.0,0.5,1.0,3.0,3
2010-2011,7,Monaco,Lorient,Extérieur,1,2,-1,10,16,1.0,0.8333333333333334,1.3333333333333333,1.0,0.6666666666666666,1.1666666666666667,1.3333333333333333,1.0,1.0,-2.0,2
2010-2011,8,Monaco,Brest,Domicile,0,1,-1,12,8,1.0,0.8571428571428571,0.6666666666666666,1.0,0.8571428571428571,0.5714285714285714,0.0,0.75,0.0,2.0,0
2010-2011,9,Monaco,Caen,Extérieur,0,0,0,15,9,0.875,1.0,1.25,1.0,0.875,1.0,1.5,1.3333333333333333,-1.0,-1.0,-1
2010-2011,10,Monaco,Valenciennes,Domicile,0,2,-1,16,15,0.7777777777777778,1.0,0.5,0.6,0.7777777777777778,1.1111111111111112,0.25,1.0,-2.0,-1.0,-1
2010-2011,11,Monaco,Bordeaux,Domicile,2,2,0,18,9,0.7,0.9,0.4,0.8,0.9,0.9,0.6,0.8,-3.0,2.0,-7
2010-2011,12,Monaco,Nancy,Extérieur,4,0,1,18,15,0.8181818181818182,1.1818181818181819,1.0,0.6,1.0,1.6363636363636365,1.2,2.0,-3.0,0.0,1
2010-2011,13,Monaco,Arles-Avignon,Domicile,0,0,0,18,20,1.0833333333333333,0.5833333333333334,0.6666666666666666,0.5,0.9166666666666666,2.0833333333333335,0.8333333333333334,2.1666666666666665,-1.0,-1.0,0
2010-2011,14,Monaco,Lille,Extérieur,1,2,-1,16,2,1.0,1.6923076923076923,1.5,1.5,0.8461538461538461,1.1538461538461537,1.0,1.0,0.0,0.0,-1
2010-2011,15,Monaco,Nice,Domicile,1,1,0,17,16,1.0,0.7857142857142857,0.5714285714285714,0.42857142857142855,0.9285714285714286,1.1428571428571428,0.7142857142857143,1.4285714285714286,-1.0,-3.0,-2
2010-2011,16,Monaco,Rennais,Extérieur,0,1,-1,17,5,1.0,1.0666666666666667,1.4285714285714286,1.2857142857142858,0.9333333333333333,0.7333333333333333,1.1428571428571428,0.8571428571428571,0.0,-1.0,-1
2010-2011,17,Monaco,Saint-Étienne,Domicile,0,2,-1,17,11,0.9375,1.3125,0.625,0.75,0.9375,1.1875,0.75,1.125,-1.0,-1.0,-2
2010-2011,18,Monaco,PSG,Extérieur,2,2,0,17,2,0.8823529411764706,1.6470588235294117,1.25,1.8888888888888888,1.0,1.0,1.125,1.0,-3.0,3.0,3
2010-2011,19,Monaco,Sochaux,Domicile,2,1,1,18,11,0.9444444444444444,1.5555555555555556,0.5555555555555556,1.125,1.0555555555555556,1.1666666666666667,0.8888888888888888,1.625,-3.0,2.0,1
2010-2011,20,Monaco,Auxerre,Extérieur,1,1,0,17,14,1.0,1.3157894736842106,1.3333333333333333,1.3333333333333333,1.0526315789473684,1.1578947368421053,1.2222222222222223,1.2222222222222223,-1.0,-1.0,-1
2010-2011,21,Monaco,Marseille,Domicile,0,0,0,19,5,1.0,1.45,0.7,1.3,1.05,0.9,0.9,1.0,-1.0,0.0,-3
2010-2011,22,Monaco,Toulouse,Extérieur,0,2,-1,19,9,0.9523809523809523,1.0952380952380953,1.3,1.1,1.0,1.0476190476190477,1.2,0.7,0.0,-1.0,3
2010-2011,23,Monaco,Lorient,Domicile,3,1,1,19,11,0.9090909090909091,1.1818181818181819,0.6363636363636364,0.8181818181818182,1.0454545454545454,1.2272727272727273,0.8181818181818182,1.9090909090909092,0.0,0.0,1
2010-2011,24,Monaco,Brest,Extérieur,0,2,-1,18,10,1.0,1.0,1.1818181818181819,1.0909090909090908,1.0434782608695652,1.0434782608695652,1.2727272727272727,0.6363636363636364,1.0,-2.0,-1
2010-2011,25,Monaco,Caen,Domicile,2,2,0,18,14,0.9583333333333334,1.0833333333333333,0.8333333333333334,1.1666666666666667,1.0833333333333333,1.4166666666666667,0.8333333333333334,1.25,-1.0,2.0,-1
2010-2011,26,Monaco,Valenciennes,Extérieur,0,0,0,18,13,1.0,1.2,1.0833333333333333,1.5833333333333333,1.12,1.08,1.3333333333333333,0.9166666666666666,-1.0,2.0,-2
2010-2011,27,Monaco,Bordeaux,Extérieur,1,0,1,18,7,0.9615384615384616,1.3461538461538463,1.0,1.3076923076923077,1.0769230769230769,1.1923076923076923,1.2307692307692308,0.9230769230769231,-1.0,0.0,-7
2010-2011,28,Monaco,Nancy,Domicile,0,1,-1,17,16,0.9629629629629629,1.0740740740740742,0.9230769230769231,1.0,1.037037037037037,1.5185185185185186,0.9230769230769231,1.6153846153846154,1.0,0.0,2
2010-2011,29,Monaco,Arles-Avignon,Extérieur,2,0,1,18,20,0.9285714285714286,0.5714285714285714,1.0,0.8571428571428571,1.0357142857142858,1.9642857142857142,1.1428571428571428,1.7142857142857142,-1.0,-2.0,0
2010-2011,30,Monaco,Lille,Domicile,1,0,1,18,1,0.9655172413793104,1.793103448275862,0.8571428571428571,1.5714285714285714,1.0,0.9655172413793104,0.9285714285714286,1.0,1.0,4.0,-2
2010-2011,31,Monaco,Nice,Extérieur,2,3,-1,16,14,0.9666666666666667,0.7333333333333333,1.0666666666666667,0.9333333333333333,0.9666666666666667,1.0333333333333334,1.0666666666666667,0.9333333333333333,2.0,1.0,-2
2010-2011,32,Monaco,Rennais,Domicile,1,0,1,17,5,1.0,1.064516129032258,0.8666666666666667,0.8,1.032258064516129,0.8064516129032258,0.8666666666666667,1.0,1.0,-3.0,-2
2010-2011,33,Monaco,Saint-Étienne,Extérieur,1,1,0,15,8,1.0,1.25,1.125,1.6666666666666667,1.0,1.21875,1.1875,1.2666666666666666,1.0,0.0,-3
2010-2011,34,Monaco,PSG,Domicile,1,1,0,14,4,1.0,1.5151515151515151,0.875,1.3125,1.0,1.0303030303030303,0.8125,1.125,2.0,3.0,3
2010-2011,35,Monaco,Sochaux,Extérieur,0,3,-1,15,6,1.0,1.5294117647058822,1.1176470588235294,1.8235294117647058,1.0,1.1764705882352942,1.1764705882352942,0.9411764705882353,1.0,3.0,2
2010-2011,36,Monaco,Lens,Domicile,1,1,0,17,19,0.9714285714285714,0.9714285714285714,0.8823529411764706,0.8235294117647058,1.0571428571428572,1.4857142857142858,0.8235294117647058,1.588235294117647,-1.0,0.0,1
2010-2011,37,Monaco,Montpellier,Extérieur,1,0,1,18,10,0.9722222222222222,0.8888888888888888,1.0555555555555556,1.1666666666666667,1.0555555555555556,1.1111111111111112,1.2777777777777777,1.0555555555555556,0.0,-2.0,5
2010-2011,38,Monaco,Lyon,Domicile,0,2,-1,18,3,0.972972972972973,1.5945945945945945,0.8888888888888888,1.3333333333333333,1.027027027027027,1.0810810810810811,0.8333333333333334,1.5555555555555556,0.0,-1.0,-1
2010-2011,1,Montpellier,Bordeaux,Domicile,1,0,1,,,,,,,,,,,,,-3
2010-2011,2,Montpellier,Monaco,Extérieur,0,0,0,6,13,1.0,0.0,,,0.0,0.0,,,1.0,0.0,-5
2010-2011,3,Montpellier,Caen,Domicile,0,0,0,7,2,0.5,2.5,1.0,2.0,0.0,1.5,0.0,1.0,1.0,2.0,0
2010-2011,4,Montpellier,Valenciennes,Extérieur,1,0,1,6,4,0.3333333333333333,1.3333333333333333,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1
2010-2011,5,Montpellier,Nancy,Domicile,1,2,-1,3,18,0.5,0.75,0.5,1.5,0.0,1.75,0.0,1.0,2.0,-1.0,-1
2010-2011,6,Montpellier,Saint-Étienne,Extérieur,0,3,-1,5,3,0.6,1.6,0.5,3.0,0.4,1.2,0.0,1.5,1.0,2.0,0
2010-2011,7,Montpellier,Arles-Avignon,Domicile,3,1,1,12,20,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,2.1666666666666665,0.6666666666666666,2.6666666666666665,-1.0,-5.0,0
2010-2011,8,Montpellier,Lille,Extérieur,1,3,-1,9,7,0.8571428571428571,1.1428571428571428,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.5714285714285714,1.0,0.3333333333333333,0.0,2.0,-1
2010-2011,9,Montpellier,Sochaux,Domicile,2,0,1,11,6,0.875,2.0,1.25,1.3333333333333333,1.125,1.125,0.75,2.3333333333333335,-1.0,1.0,-1
2010-2011,10,Montpellier,Rennais,Extérieur,1,0,1,9,1,1.0,1.3333333333333333,0.5,1.5,1.0,0.4444444444444444,1.5,0.75,-1.0,3.0,-1
2010-2011,11,Montpellier,PSG,Domicile,1,1,0,6,7,1.0,1.5,1.4,1.25,0.9,0.9,0.6,0.75,1.0,1.0,2
2010-2011,12,Montpellier,Lens,Extérieur,0,2,-1,6,19,1.0,0.8181818181818182,0.6,0.8333333333333334,0.9090909090909091,1.6363636363636365,1.2,1.6666666666666667,2.0,-1.0,0
2010-2011,13,Montpellier,Toulouse,Domicile,1,0,1,8,7,0.9166666666666666,1.1666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.0833333333333333,0.6666666666666666,1.1666666666666667,0.0,-2.0,0
2010-2011,14,Montpellier,Nice,Extérieur,1,0,1,4,14,0.9230769230769231,0.8461538461538461,0.5,1.3333333333333333,0.9230769230769231,1.1538461538461537,1.3333333333333333,0.8333333333333334,2.0,-1.0,0
2010-2011,15,Montpellier,Marseille,Extérieur,0,4,-1,3,5,0.9285714285714286,1.5,0.5714285714285714,1.2857142857142858,0.8571428571428571,1.0,1.1428571428571428,0.8571428571428571,2.0,1.0,-3
2010-2011,16,Montpellier,Lyon,Domicile,1,2,-1,6,8,0.8666666666666667,1.3333333333333333,1.2857142857142858,1.4285714285714286,1.0666666666666667,1.2,0.5714285714285714,1.7142857142857142,0.0,3.0,-2
2010-2011,17,Montpellier,Brest,Extérieur,0,0,0,10,6,0.875,1.1875,0.5,1.2857142857142858,1.125,0.875,1.5,0.42857142857142855,-1.0,-2.0,0
2010-2011,18,Montpellier,Auxerre,Domicile,1,1,0,9,14,0.8235294117647058,1.3529411764705883,1.25,1.375,1.0588235294117647,1.1764705882352942,0.75,1.125,0.0,0.0,0
2010-2011,19,Montpellier,Lorient,Extérieur,0,0,0,10,12,0.8333333333333334,1.2222222222222223,0.4444444444444444,1.6666666666666667,1.0555555555555556,1.3333333333333333,1.3333333333333333,0.6666666666666666,-1.0,-1.0,1
2010-2011,20,Montpellier,Valenciennes,Domicile,2,1,1,10,16,0.7894736842105263,1.105263157894737,1.2222222222222223,0.7,1.0,1.105263157894737,0.7777777777777778,1.1,-2.0,-1.0,2
2010-2011,21,Montpellier,Nancy,Extérieur,2,1,1,7,13,0.85,1.05,0.4,0.9,1.0,1.5,1.2,1.5,0.0,0.0,-2
2010-2011,22,Montpellier,Saint-Étienne,Domicile,1,2,-1,6,7,0.9047619047619048,1.380952380952381,1.3,0.9090909090909091,1.0,1.0952380952380953,0.8,1.0909090909090908,2.0,2.0,-1
2010-2011,23,Montpellier,Arles-Avignon,Extérieur,0,0,0,8,20,0.9090909090909091,0.5,0.5454545454545454,0.7272727272727273,1.0454545454545454,1.9545454545454546,1.1818181818181819,1.8181818181818181,1.0,-4.0,1
2010-2011,24,Montpellier,Lille,Domicile,1,0,1,7,1,0.8695652173913043,1.826086956521739,1.2727272727272727,1.6363636363636365,1.0,0.9565217391304348,0.9090909090909091,1.0,1.0,3.0,-2
2010-2011,25,Montpellier,Sochaux,Extérieur,0,0,0,6,11,0.875,1.625,0.5,2.0833333333333335,0.9583333333333334,1.2916666666666667,1.0833333333333333,0.9166666666666666,2.0,-1.0,0
2010-2011,26,Montpellier,Rennais,Domicile,0,1,-1,6,2,0.84,1.2,1.25,0.8333333333333334,0.92,0.72,0.8333333333333334,1.0,1.0,3.0,0
2010-2011,27,Montpellier,PSG,Extérieur,2,2,0,6,5,0.8076923076923077,1.5,0.46153846153846156,1.7692307692307692,0.9230769230769231,1.0,1.0,1.0,-1.0,0.0,2
2010-2011,28,Montpellier,Lens,Domicile,1,4,-1,6,19,0.8518518518518519,0.8888888888888888,1.1538461538461537,0.6153846153846154,0.9629629629629629,1.5185185185185186,0.8461538461538461,1.6153846153846154,0.0,-3.0,-1
2010-2011,29,Montpellier,Toulouse,Extérieur,1,0,1,7,10,0.8571428571428571,1.0357142857142858,0.5714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,0.7857142857142857,-1.0,-2.0,1
2010-2011,30,Montpellier,Nice,Domicile,1,1,0,6,15,0.8620689655172413,0.7241379310344828,1.1428571428571428,0.5,1.0344827586206897,1.0344827586206897,1.0714285714285714,1.1428571428571428,-1.0,2.0,1
2010-2011,31,Montpellier,Marseille,Domicile,1,2,-1,6,2,0.8666666666666667,1.4666666666666666,1.1333333333333333,1.3333333333333333,1.0333333333333334,0.8666666666666667,1.0666666666666667,0.8,-1.0,2.0,-4
