Saison,Journée,Equipe 1,Equipe 2,Equipe 1 à Domicile,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 à Domicile,Moyenne_BM par 2 à Domicile,Moyenne_BM par 1 à Extérieur,Moyenne_BM par 2 à Extérieur,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 à Domicile,Moyenne_BE par 2 à Domicile,Moyenne_BE par 1 à Extérieur,Moyenne_BE par 2 à Extérieur,Forme 1,Forme 2,Historique
2002-2003,36,Ajaccio,Nice,1,2,0,1,19,7,0.7714285714285715,1.0571428571428572,0.7058823529411765,1.2777777777777777,0.8333333333333334,0.8235294117647058,1.3428571428571427,0.7428571428571429,1.2352941176470589,0.3888888888888889,1.4444444444444444,1.1176470588235294,-1.0,1.0,-1
2002-2003,37,Ajaccio,Lille,0,0,2,-1,16,15,0.8055555555555556,0.75,0.7777777777777778,1.0,0.8333333333333334,0.5,1.3055555555555556,1.1666666666666667,1.1666666666666667,1.0555555555555556,1.4444444444444444,1.2777777777777777,-1.0,0.0,0
2002-2003,38,Ajaccio,Strasbourg,1,0,0,0,16,13,0.7837837837837838,1.0810810810810811,0.7777777777777778,1.263157894736842,0.7894736842105263,0.8888888888888888,1.3243243243243243,1.4594594594594594,1.1666666666666667,1.2105263157894737,1.4736842105263157,1.7222222222222223,-1.0,-1.0,0
2002-2003,1,Auxerre,Paris Saint Germain,0,0,1,-1,,,,,,,,,,,,,,,,,0
2002-2003,2,Auxerre,Montpellier,1,2,0,1,16,5,0.0,1.0,,1.0,0.0,,1.0,0.0,,0.0,1.0,,-1.0,1.0,0
2002-2003,3,Auxerre,Troyes,0,2,1,1,9,19,1.0,0.0,2.0,0.0,0.0,0.0,0.5,2.0,0.0,4.0,1.0,0.0,0.0,-1.0,0
2002-2003,4,Auxerre,Guingamp,1,2,1,1,4,1,1.3333333333333333,2.6666666666666665,2.0,3.0,1.0,2.0,0.6666666666666666,1.0,0.0,1.5,1.0,0.0,1.0,2.0,0
2002-2003,5,Auxerre,Marseille,0,0,0,0,2,8,1.5,1.25,2.0,0.5,1.0,2.0,0.75,1.0,0.5,1.5,1.0,0.5,2.0,1.0,0
2002-2003,6,Auxerre,Bastia,1,1,0,1,2,11,1.2,1.2,2.0,1.6666666666666667,0.6666666666666666,0.5,0.6,1.4,0.5,0.6666666666666666,0.6666666666666666,2.5,2.0,0.0,0
2002-2003,7,Auxerre,Sochaux,0,1,1,0,2,7,1.1666666666666667,1.5,1.6666666666666667,3.0,0.6666666666666666,0.75,0.5,1.1666666666666667,0.3333333333333333,1.5,0.6666666666666666,1.0,4.0,1.0,0
2002-2003,8,Auxerre,Sedan,1,3,1,1,2,18,1.1428571428571428,0.7142857142857143,1.6666666666666667,0.75,0.75,0.6666666666666666,0.5714285714285714,1.5714285714285714,0.3333333333333333,0.75,0.75,2.6666666666666665,3.0,-1.0,0
2002-2003,9,Auxerre,Nantes,0,4,1,1,2,11,1.375,1.125,2.0,1.3333333333333333,0.75,1.0,0.625,1.25,0.5,0.6666666666666666,0.75,1.6,3.0,-2.0,0
2002-2003,10,Auxerre,Monaco,1,1,1,0,1,4,1.6666666666666667,1.5555555555555556,2.0,1.25,1.4,1.8,0.6666666666666666,0.8888888888888888,0.5,0.75,0.8,1.0,3.0,2.0,0
2002-2003,11,Auxerre,Lyon,0,0,3,-1,1,9,1.6,1.9,1.8,3.0,1.4,1.1666666666666667,0.7,1.3,0.6,1.25,0.8,1.3333333333333333,3.0,0.0,0
2002-2003,12,Auxerre,Rennes,1,1,0,1,2,19,1.4545454545454546,0.8181818181818182,1.8,0.8,1.1666666666666667,0.8333333333333334,0.9090909090909091,1.5454545454545454,0.6,1.2,1.1666666666666667,1.8333333333333333,1.0,-1.0,0
2002-2003,13,Auxerre,Lens,0,1,3,-1,1,9,1.4166666666666667,0.8333333333333334,1.6666666666666667,0.8,1.1666666666666667,0.8571428571428571,0.8333333333333334,0.5833333333333334,0.5,0.4,1.1666666666666667,0.7142857142857143,2.0,0.0,0
2002-2003,14,Auxerre,Ajaccio,0,0,1,-1,1,15,1.3846153846153846,0.6923076923076923,1.6666666666666667,0.3333333333333333,1.1428571428571428,1.0,1.0,1.0,0.5,0.6666666666666666,1.4285714285714286,1.2857142857142858,0.0,-1.0,0
2002-2003,15,Auxerre,Nice,1,0,2,-1,4,1,1.2857142857142858,1.3571428571428572,1.6666666666666667,1.625,1.0,1.0,1.0,0.5,0.5,0.375,1.375,0.6666666666666666,-2.0,2.0,0
