Saison,Journée,Domicile,Extérieur,Buts domicile,Buts extérieur,Résultat
2002-2003,10,Paris Saint Germain,Guingamp,5,0,1
2002-2003,11,Sedan,Rennes,1,3,-1
2002-2003,11,Lens,Ajaccio,1,1,0
2002-2003,11,Lyon,Auxerre,3,0,1
2002-2003,11,Troyes,Paris Saint Germain,1,2,-1
2002-2003,11,Nantes,Nice,0,0,0
2002-2003,11,Guingamp,Montpellier,3,1,1
2002-2003,11,Sochaux,Bordeaux,2,0,1
2002-2003,11,Monaco,Lille,1,1,0
2002-2003,11,Bastia,Le Havre,3,1,1
2002-2003,11,Marseille,Strasbourg,1,0,1
2002-2003,12,Bordeaux,Monaco,2,2,0
2002-2003,12,Paris Saint Germain,Marseille,3,0,1
2002-2003,12,Nice,Lens,0,0,0
2002-2003,12,Auxerre,Rennes,1,0,1
2002-2003,12,Strasbourg,Bastia,2,0,1
2002-2003,12,Le Havre,Nantes,1,1,0
2002-2003,12,Montpellier,Troyes,2,2,0
2002-2003,12,Ajaccio,Lyon,0,1,-1
2002-2003,12,Guingamp,Sedan,0,1,-1
2002-2003,12,Lille,Sochaux,1,0,1
2002-2003,13,Rennes,Ajaccio,0,0,0
2002-2003,13,Marseille,Montpellier,2,0,1
2002-2003,13,Monaco,Le Havre,1,1,0
2002-2003,13,Lens,Auxerre,3,1,1
2002-2003,13,Sochaux,Strasbourg,2,0,1
2002-2003,13,Troyes,Guingamp,0,2,-1
2002-2003,13,Bastia,Lille,1,0,1
2002-2003,13,Lyon,Nice,2,2,0
2002-2003,13,Nantes,Bordeaux,0,0,0
2002-2003,13,Sedan,Paris Saint Germain,3,1,1
2002-2003,14,Ajaccio,Auxerre,1,0,1
2002-2003,14,Le Havre,Lyon,1,2,-1
2002-2003,14,Nice,Monaco,1,0,1
2002-2003,14,Troyes,Bastia,3,0,1
2002-2003,14,Montpellier,Sedan,2,0,1
2002-2003,14,Guingamp,Marseille,0,0,0
2002-2003,14,Bordeaux,Rennes,2,0,1
2002-2003,14,Lille,Nantes,0,1,-1
2002-2003,14,Paris Saint Germain,Sochaux,1,1,0
2002-2003,14,Strasbourg,Lens,2,0,1
2002-2003,15,Monaco,Ajaccio,3,2,1
2002-2003,15,Nantes,Strasbourg,4,1,1
2002-2003,15,Sedan,Lille,0,1,-1
2002-2003,15,Sochaux,Montpellier,0,0,0
2002-2003,15,Bastia,Guingamp,0,2,-1
2002-2003,15,Lyon,Bordeaux,4,2,1
2002-2003,15,Auxerre,Nice,0,2,-1
2002-2003,15,Marseille,Troyes,0,0,0
2002-2003,15,Rennes,Le Havre,0,0,0
2002-2003,15,Lens,Paris Saint Germain,3,2,1
2002-2003,16,Paris Saint Germain,Nantes,0,1,-1
2002-2003,16,Marseille,Lens,1,0,1
2002-2003,16,Nice,Rennes,0,0,0
2002-2003,16,Troyes,Sedan,2,0,1
2002-2003,16,Bordeaux,Ajaccio,1,0,1
2002-2003,16,Guingamp,Sochaux,2,0,1
2002-2003,16,Montpellier,Bastia,2,2,0
2002-2003,16,Le Havre,Auxerre,0,1,-1
2002-2003,16,Lille,Lyon,2,1,1
2002-2003,16,Strasbourg,Monaco,1,0,1
2002-2003,17,Sedan,Nice,3,0,1
2002-2003,17,Ajaccio,Le Havre,1,2,-1
2002-2003,17,Nantes,Montpellier,3,1,1
2002-2003,17,Rennes,Lille,5,1,1
2002-2003,17,Bastia,Marseille,2,0,1
2002-2003,17,Monaco,Paris Saint Germain,3,1,1
2002-2003,17,Sochaux,Troyes,1,0,1
2002-2003,17,Lens,Guingamp,1,3,-1
