,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
46,2023-08-27,20:45,Ligue 1,Matchweek 3,Sun,Home,D,0.0,0.0,Lyon,1.9,0.2,58.0,28033.0,Dante,4-3-3,Bastien Dechepy,Match Report,,Nice
47,2023-09-03,17:05,Ligue 1,Matchweek 4,Sun,Home,W,2.0,0.0,Strasbourg,2.2,0.2,62.0,20215.0,Dante,4-3-3,Jeremy Stinat,Match Report,,Nice
48,2023-09-15,21:00,Ligue 1,Matchweek 5,Fri,Away,W,3.0,2.0,Paris S-G,1.3,1.0,31.0,47874.0,Dante,4-3-3,Clément Turpin,Match Report,,Nice
49,2023-09-22,21:00,Ligue 1,Matchweek 6,Fri,Away,W,1.0,0.0,Monaco,0.9,1.8,45.0,10075.0,Dante,4-3-3,Benoît Millot,Match Report,,Nice
50,2023-10-01,15:00,Ligue 1,Matchweek 7,Sun,Home,D,0.0,0.0,Brest,1.1,0.2,54.0,32044.0,Dante,4-3-3,Romain Lissorgue,Match Report,,Nice
51,2023-10-07,17:00,Ligue 1,Matchweek 8,Sat,Away,W,1.0,0.0,Metz,1.4,0.4,68.0,23160.0,Dante,4-3-3,Jérôme Brisard,Match Report,,Nice
52,2023-10-21,21:00,Ligue 1,Matchweek 9,Sat,Home,W,1.0,0.0,Marseille,0.6,1.1,50.0,31423.0,Dante,4-3-3,Ruddy Buquet,Match Report,,Nice
53,2023-10-27,21:00,Ligue 1,Matchweek 10,Fri,Away,W,1.0,0.0,Clermont Foot,2.2,0.5,55.0,10800.0,Dante,4-3-3,Jérémie Pignard,Match Report,,Nice
54,2023-11-05,20:45,Ligue 1,Matchweek 11,Sun,Home,W,2.0,0.0,Rennes,1.6,0.8,46.0,22430.0,Dante,4-3-3,Clément Turpin,Match Report,,Nice
55,2023-11-10,21:00,Ligue 1,Matchweek 12,Fri,Away,D,0.0,0.0,Montpellier,0.7,0.5,59.0,13452.0,Dante,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Nice
56,2023-11-26,13:00,Ligue 1,Matchweek 13,Sun,Home,W,1.0,0.0,Toulouse,1.0,1.3,53.0,21849.0,Dante,4-3-3,François Letexier,Match Report,,Nice
57,2023-12-02,21:00,Ligue 1,Matchweek 14,Sat,Away,L,0.0,1.0,Nantes,1.3,1.4,62.0,26560.0,Dante,4-3-3,Ruddy Buquet,Match Report,,Nice
58,2023-12-10,13:00,Ligue 1,Matchweek 15,Sun,Home,W,2.0,1.0,Reims,0.9,1.3,52.0,24325.0,Dante,4-3-3,Benoît Bastien,Match Report,,Nice
59,2023-12-16,17:00,Ligue 1,Matchweek 16,Sat,Away,L,1.0,3.0,Le Havre,1.9,2.1,62.0,21971.0,Dante,4-3-3,Jérémie Pignard,Match Report,,Nice
60,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Home,W,2.0,0.0,Lens,2.5,0.5,41.0,25041.0,Dante,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Nice
61,2024-01-06,20:45,Coupe de France,Round of 64,Sat,Home,,,,Auxerre,,,,,,,,Head-to-Head,,Nice
62,2024-01-13,21:00,Ligue 1,Matchweek 18,Sat,Away,,,,Rennes,,,,,,,,Head-to-Head,,Nice
63,2024-01-28,,Ligue 1,Matchweek 19,Sun,Home,,,,Metz,,,,,,,,Head-to-Head,,Nice
64,2024-02-04,,Ligue 1,Matchweek 20,Sun,Away,,,,Brest,,,,,,,,Head-to-Head,,Nice
65,2024-02-11,,Ligue 1,Matchweek 21,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,Nice
66,2024-02-18,,Ligue 1,Matchweek 22,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Nice
67,2024-02-25,,Ligue 1,Matchweek 23,Sun,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,Nice
68,2024-03-03,,Ligue 1,Matchweek 24,Sun,Away,,,,Toulouse,,,,,,,,Head-to-Head,,Nice
69,2024-03-10,,Ligue 1,Matchweek 25,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,Nice
70,2024-03-17,,Ligue 1,Matchweek 26,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,Nice
71,2024-03-31,,Ligue 1,Matchweek 27,Sun,Home,,,,Nantes,,,,,,,,Head-to-Head,,Nice
72,2024-04-07,,Ligue 1,Matchweek 28,Sun,Away,,,,Reims,,,,,,,,Head-to-Head,,Nice
73,2024-04-14,,Ligue 1,Matchweek 29,Sun,Away,,,,Marseille,,,,,,,,Head-to-Head,,Nice
74,2024-04-21,,Ligue 1,Matchweek 30,Sun,Home,,,,Lorient,,,,,,,,Head-to-Head,,Nice
75,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Strasbourg,,,,,,,,Head-to-Head,,Nice
76,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,Nice
77,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Home,,,,Le Havre,,,,,,,,Head-to-Head,,Nice
78,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Away,,,,Lille,,,,,,,,Head-to-Head,,Nice
79,2023-08-13,15:00,Ligue 1,Matchweek 1,Sun,Away,W,4.0,2.0,Clermont Foot,2.5,1.8,45.0,10453.0,Wissam Ben Yedder,3-4-3,François Letexier,Match Report,,Monaco
80,2023-08-20,19:00,Ligue 1,Matchweek 2,Sun,Home,W,3.0,0.0,Strasbourg,0.9,0.5,56.0,10100.0,Wissam Ben Yedder,3-4-3,Ruddy Buquet,Match Report,,Monaco
81,2023-08-25,21:00,Ligue 1,Matchweek 3,Fri,Away,D,3.0,3.0,Nantes,3.3,1.0,65.0,28429.0,Wissam Ben Yedder,3-4-3,Jérémie Pignard,Match Report,,Monaco
82,2023-09-02,21:00,Ligue 1,Matchweek 4,Sat,Home,W,3.0,0.0,Lens,0.9,0.6,52.0,9600.0,Wissam Ben Yedder,3-4-3,Willy Delajod,Match Report,,Monaco
83,2023-09-17,13:00,Ligue 1,Matchweek 5,Sun,Away,D,2.0,2.0,Lorient,1.7,0.9,59.0,15247.0,Wissam Ben Yedder,3-4-3,Marc Bollengier,Match Report,,Monaco
84,2023-09-22,21:00,Ligue 1,Matchweek 6,Fri,Home,L,0.0,1.0,Nice,1.8,0.9,55.0,10075.0,Youssouf Fofana,3-4-3,Benoît Millot,Match Report,,Monaco
85,2023-09-30,21:00,Ligue 1,Matchweek 7,Sat,Home,W,3.0,2.0,Marseille,1.0,1.0,46.0,10200.0,Wissam Ben Yedder,3-4-1-2,Benoît Bastien,Match Report,,Monaco
86,2023-10-07,21:00,Ligue 1,Matchweek 8,Sat,Away,W,3.0,1.0,Reims,1.2,1.5,46.0,19000.0,Wissam Ben Yedder,3-4-1-2,Hakim Ben El Hadj Salem,Match Report,,Monaco
87,2023-10-22,17:05,Ligue 1,Matchweek 9,Sun,Home,W,2.0,1.0,Metz,2.0,1.0,75.0,6200.0,Wissam Ben Yedder,4-2-2-2,Romain Lissorgue,Match Report,,Monaco
88,2023-10-29,15:00,Ligue 1,Matchweek 10,Sun,Away,L,0.0,2.0,Lille,0.6,0.5,59.0,40046.0,Wissam Ben Yedder,4-1-3-2,Clément Turpin,Match Report,,Monaco
89,2023-11-05,17:05,Ligue 1,Matchweek 11,Sun,Home,W,2.0,0.0,Brest,0.8,0.8,46.0,9244.0,Youssouf Fofana,3-4-3,Eric Wattellier,Match Report,,Monaco
90,2023-11-11,21:00,Ligue 1,Matchweek 12,Sat,Away,D,0.0,0.0,Le Havre,0.6,1.4,62.0,23008.0,Wissam Ben Yedder,3-4-3,Thomas Léonard,Match Report,,Monaco
